----------------------------------------------
PZ-In TotHead [m]: 
    2016/06/08 01:00:00 428.608250 
    2016/06/08 01:15:00 428.610583 
    2016/06/08 01:30:00 428.607250 
    2016/06/08 01:45:00 428.608833 
    2016/06/08 02:00:00 428.609583 
    2016/06/08 02:15:00 428.609750 
    2016/06/08 02:30:00 428.612750 
    2016/06/08 02:45:00 428.615583 
    2016/06/08 03:00:00 428.618750 
    2016/06/08 03:15:00 428.617750 
    2016/06/08 03:30:00 428.619250 
    2016/06/08 03:45:00 428.616250 
    2016/06/08 04:00:00 428.619833 
    2016/06/08 04:15:00 428.622750 
    2016/06/08 04:30:00 428.622750 
    2016/06/08 04:45:00 428.625500 
    2016/06/08 05:00:00 428.627750 
    2016/06/08 05:15:00 428.626000 
    2016/06/08 05:30:00 428.626000 
    2016/06/08 05:45:00 428.627000 
    2016/06/08 06:00:00 428.625000 
    2016/06/08 06:15:00 428.628167 
    2016/06/08 06:30:00 428.629333 
    2016/06/08 06:45:00 428.630500 
    2016/06/08 07:00:00 428.629333 
    2016/06/08 07:15:00 428.623500 
    2016/06/08 07:30:00 428.624250 
    2016/06/08 07:45:00 428.624500 
    2016/06/08 08:00:00 428.624333 
    2016/06/08 08:15:00 428.624750 
    2016/06/08 08:30:00 428.624917 
    2016/06/08 08:45:00 428.624000 
    2016/06/08 09:00:00 428.622250 
    2016/06/08 09:15:00 428.622083 
    2016/06/08 09:30:00 428.620000 
    2016/06/08 09:45:00 428.617250 
    2016/06/08 10:00:00 428.618250 
    2016/06/08 10:15:00 428.618250 
    2016/06/08 10:30:00 428.617250 
    2016/06/08 10:45:00 428.617583 
    2016/06/08 11:00:00 428.617750 
    2016/06/08 11:15:00 428.614250 
    2016/06/08 11:30:00 428.613917 
    2016/06/08 11:45:00 428.611250 
    2016/06/08 12:00:00 428.608500 
    2016/06/08 12:15:00 428.608500 
    2016/06/08 12:30:00 428.608500 
    2016/06/08 12:45:00 428.608500 
    2016/06/08 13:00:00 428.602583 
    2016/06/08 13:15:00 428.601333 
    2016/06/08 13:30:00 428.599000 
    2016/06/08 13:45:00 428.595417 
    2016/06/08 14:00:00 428.594917 
    2016/06/08 14:15:00 428.592000 
    2016/06/08 14:30:00 428.587833 
    2016/06/08 14:45:00 428.585583 
    2016/06/08 15:00:00 428.579500 
    2016/06/08 15:15:00 428.580500 
    2016/06/08 15:30:00 428.575750 
    2016/06/08 15:45:00 428.570250 
    2016/06/08 16:00:00 428.571417 
    2016/06/08 16:15:00 428.569167 
    2016/06/08 16:30:00 428.567000 
    2016/06/08 16:45:00 428.564833 
    2016/06/08 17:00:00 428.562417 
    2016/06/08 17:15:00 428.561250 
    2016/06/08 17:30:00 428.558083 
    2016/06/08 17:45:00 428.554667 
    2016/06/08 18:00:00 428.550500 
    2016/06/08 18:15:00 428.546417 
    2016/06/08 18:30:00 428.542667 
    2016/06/08 18:45:00 428.541500 
    2016/06/08 19:00:00 428.539167 
    2016/06/08 19:15:00 428.538583 
